BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,1,4,13,1,3,4,10.7,1,516.0
1,2017,1,4,13,2,3,4,10.7,1,533.28
1,2017,1,4,13,3,3,4,10.7,1,517.92
1,2017,1,4,14,0,3,4,10.7,1,496.8
1,2017,1,4,14,1,3,4,10.7,1,485.28
1,2017,1,4,14,2,3,4,10.7,1,492.48
1,2017,1,4,14,3,3,4,10.7,1,492.96
1,2017,1,4,15,0,3,4,10.7,1,497.76
1,2017,1,4,15,1,3,4,10.7,1,495.36
1,2017,1,4,15,2,3,4,10.7,1,491.52
1,2017,1,4,15,3,3,4,10.7,1,485.76
1,2017,1,4,16,0,3,4,10.7,1,488.64
1,2017,1,4,16,1,3,4,10.7,1,500.16
1,2017,1,4,16,2,3,4,10.7,1,488.16
1,2017,1,4,16,3,3,4,10.7,1,479.04
1,2017,1,4,17,0,3,4,10.7,1,500.64
1,2017,1,4,17,1,3,4,10.7,1,487.68
1,2017,1,4,17,2,3,4,10.7,1,498.72
1,2017,1,4,17,3,3,4,10.7,1,482.4
1,2017,1,4,18,0,3,4,10.7,1,456.48
1,2017,1,4,18,1,3,4,10.7,1,378.72
1,2017,1,4,18,2,3,4,10.7,1,311.52
1,2017,1,4,18,3,3,4,10.7,1,306.72
1,2017,1,4,19,0,3,4,10.7,1,298.56
1,2017,1,4,19,1,3,4,10.7,1,298.56
1,2017,1,4,19,2,3,4,10.7,1,289.44
1,2017,1,4,19,3,3,4,10.7,1,282.72
1,2017,1,4,20,0,3,4,10.7,1,285.6
1,2017,1,4,20,1,3,4,10.7,1,289.44
1,2017,1,4,20,2,3,4,10.7,1,278.4
1,2017,1,4,20,3,3,4,10.7,1,276.48
1,2017,1,4,21,0,3,4,10.7,1,273.6
1,2017,1,4,21,1,3,4,10.7,1,263.52
1,2017,1,4,21,2,3,4,10.7,1,250.08
